Item Name ,Description ,Qty,Category,Group ID,STYLE NO,COST PX,SELLING RATE,RE-ORDER,UOM,BRANCH,date,Barcode 
shelf brackets10*12,shelf brackets10*12,230,,,,1788,3000,5,7,1,12-11-2020,78888888888888
shelf brackets12*14,shelf brackets12*14,118,,,,2014,3500,5,7,1,12-11-2020,92600000000000
"2"" pipe fitting s","2"" pipe fitting s",100,,,,12923,15000,5,1,1,12-11-2020,30700000000000
306 steel wheels,306 steel wheels,550,,,,780,1500,5,1,1,12-11-2020,30700000000000
40*40(door stoppers),40*40(door stoppers),373,,,,1126,3000,5,1,1,12-11-2020,91600000000000
40*50door stoppers ),40*50door stoppers ),250,,,,1500,3500,5,1,1,12-11-2020,91600000000000
6*8(shelf brackets),6*8(shelf brackets),138,,,,827,2500,5,7,1,12-11-2020,98800000000000
8*10(shelf brackets),8*10(shelf brackets),26,,,,1162,3000,5,7,1,12-11-2020,30700000000000
808 drawer lock,808 drawer lock,13,,,,1650,2500,5,1,1,12-11-2020,30700000000000
Akado handles,Akado handles,4,,,,28000,35000,5,7,1,12-11-2020,30700000000000
alumi fasteners,alumi fasteners,20,,,,4500,7000,5,7,1,12-11-2020,9250000000000
alumi hinges,alumi hinges,100,,,,4650,7000,5,7,1,12-11-2020,91200000000000
american chat screw drivers,american chat screw drivers,7,,,,6700,10000,5,1,1,12-11-2020,9280000000000
B & Ylock,B & Ylock,1,,,,19500,25000,5,1,1,12-11-2020,92200000000000
ball catchers,ball catchers,18,,,,25000,65000,5,8,1,12-11-2020,92800000000000
big coat display,big coat display,12,,,,8700,25000,5,1,1,12-11-2020,98300000000000
black casters ,black casters ,113,,,,900,2500,5,1,1,12-11-2020,13938280
brown ball catchers,brown ball catchers,304,,,,176,500,5,1,1,12-11-2020,37100000000000
brown small handles,brown small handles,49,,,,1860,3000,5,7,1,12-11-2020,92200000000000
brown transparent knobs,brown transparent knobs,22,,,,1100,2500,5,7,1,12-11-2020,45000000000000
chair pins ,chair pins ,49,,,,1500,2500,5,8,1,12-11-2020,97000000000000
chair stand short,chair stand short,6,,,,8500,20000,5,7,1,12-11-2020,90200000000000
chair stands long,chair stands long,11,,,,8500,20000,5,7,1,12-11-2020,92900000000000
circular fittings,circular fittings,89,,,,3250,5000,5,7,1,12-11-2020,92000000000000
"closed pipe fittings  1""","closed pipe fittings  1""",93,,,,3755,5000,5,7,1,12-11-2020,34800000000000
"closed pipe fittings  3/4""","closed pipe fittings  3/4""",312,,,,2326,3000,5,7,1,12-11-2020,30700000000000
concrete nails,concrete nails,106,,,,2000,4000,5,8,1,12-11-2020,98700000000000
cresent locks,cresent locks,139,,,,3580,10000,5,7,1,12-11-2020,95300000000000
cross locks,cross locks,20,,,,23500,30000,5,7,1,12-11-2020,98700000000000
cylinders mix,cylinders mix,15,,,,7000,10000,5,1,1,12-11-2020,92600000000000
door guards,door guards,44,,,,4160,12000,5,7,1,12-11-2020,92200000000000
moneta cam lock(30mm) ,moneta cam lock(30mm) ,31,,,,3500,7000,5,1,1,12-11-2020,92400000000000
